Share-DUPH,10.01,1.226225
Share-GTAN,26.04,9.910824
Share-USUF,9.25,2.561325
Share-CFOZ,10.64,4.065544
Share-QLRX,15.72,4.318284
Share-HKFP,23.97,4.712502
Share-PPPH,24.06,9.19092
Share-HLJY,26.98,1.494692
Share-CTCR,16.6,2.0584
Share-LMJG,16.54,4.932228
Share-IGUH,19.13,2.73559
Share-VIRY,31.94,0.587696
Share-PYDS,34.9,10.71081
Share-SOOE,23.09,8.783436
Share-NOIQ,24.08,8.863848
Share-QUXB,36.97,13.338776
Share-SJNY,24.61,4.289523
Share-CQYF,26.26,0.17069
Share-XJSP,42.08,1.275024
Share-YNWM,9.94,2.80805
Share-KTGN,6.41,1.626217
Share-KWZO,41.42,0.492898
Share-BVMS,27.84,1.255584
Share-DAPD,8.47,0.564102
Share-TVRM,31.06,2.059278
Share-EIYB,11.49,4.336326
Share-NNGR,43.15,6.511335
Share-XWRU,28.6,6.68382
Share-YEZB,17.15,5.19302
Share-AQHE,7.8,0.41808
Share-SEBO,35.85,5.302215
Share-ZWIY,18.36,2.186676
Share-BAOJ,38.2,10.83352
Share-GKWN,16.01,5.366552
Share-UZPA,27.49,1.20956
Share-HODN,34.8,2.53692
Share-HRDA,27.45,9.236925
Share-ZRWP,25.99,1.746528
Share-JWSN,23.24,1.691872
Share-RLHB,38.23,1.705058
Share-FFBY,22.05,2.515905
Share-FTYF,9.56,3.015224
Share-KNZG,14.86,2.05068
Share-QPSA,28.95,8.65605
Share-JMGY,28.8,0.89568
Share-KWDY,26.04,9.866556
Share-OWCV,30.21,0.223554
Share-HUIT,36.37,6.499319
Share-MSKF,19.76,0.719264
Share-GFJZ,34.57,9.015856
Share-IKZL,41.63,7.901374
Share-BLKR,45.91,6.973729
Share-INSV,32.9,11.34063
Share-VBXG,30.23,10.725604
Share-LTLT,28.67,4.773555
Share-JTQE,33.07,10.221937
Share-OHTK,7.76,1.191936
Share-XBOW,30.98,2.518674
Share-PKFS,19.16,4.820656
Share-BQZO,25.92,0.005184
Share-MCUJ,12.51,0.456615
Share-TTXF,20.12,7.4444
Share-CZZS,27.26,8.50512
Share-BGRQ,25.39,2.952857
Share-SVAM,18.37,3.473767
Share-IYAT,14.95,2.91824
Share-NNSM,12.03,3.865239
Share-VLWV,3.7,0.14245
Share-XSSB,22.12,8.4609
Share-CIIX,1.41,0.256902
Share-SJAK,33.2,4.29276
Share-CEBR,45.89,0.018356
Share-CLIJ,33.15,7.700745
Share-XRVK,47.49,1.353465
Share-OOUK,36.53,4.401865
Share-ZBMZ,31.3,10.68582
Share-KVDA,25.11,3.492801
Share-PARA,14.33,0.220682
Share-TNBA,23.58,8.399196
Share-CSQA,2.71,0.23035
Share-HKEJ,15.19,2.524578
Share-AOLT,48.53,17.684332
Share-YRVP,21.91,2.405718
Share-IPGW,17.24,2.635996
Share-IYEW,38.32,14.097928
Share-WZHT,36.02,8.936562
Share-FAHD,47.39,2.142028
Share-EFHD,25.31,5.013911
Share-IQHP,41.0,13.1446
Share-XOQL,18.72,2.813616
Share-CZAX,38.05,11.65852
Share-RUFN,10.88,4.028864
Share-ZIGX,41.52,5.559528
Share-KMOP,25.25,8.3931
Share-VTYP,13.68,4.270896
