Share-DUPH,10.01,1.226225
Share-GTAN,26.04,9.910824
Share-USUF,9.25,2.561325
Share-CFOZ,10.64,4.065544
Share-QLRX,15.72,4.318284
Share-HKFP,23.97,4.712502
Share-PPPH,24.06,9.19092
Share-HLJY,26.98,1.494692
Share-CTCR,16.6,2.0584
Share-LMJG,16.54,4.932228
Share-IGUH,19.13,2.73559
Share-VIRY,31.94,0.587696
Share-PYDS,34.9,10.71081
Share-SOOE,23.09,8.783436
Share-NOIQ,24.08,8.863848
Share-QUXB,36.97,13.338776
Share-SJNY,24.61,4.289523
Share-CQYF,26.26,0.17069
Share-XJSP,42.08,1.275024
Share-YNWM,9.94,2.80805
Share-KTGN,6.41,1.626217
Share-KWZO,41.42,0.492898
Share-BVMS,27.84,1.255584
Share-DAPD,8.47,0.564102
Share-TVRM,31.06,2.059278
