Share-MOEX,40.6,6.77614
Share-GBGY,27.08,9.231572
Share-FJTI,33.5,6.97135
Share-LGDP,15.26,0.51884
Share-GEBJ,5.87,2.227665
Share-GGNT,33.39,2.631132
Share-TNOV,34.54,7.709328
Share-CKCJ,25.49,2.643313
Share-FUDY,7.03,1.403188
Share-UZLL,16.66,3.23204
Share-EMFC,32.38,9.862948
Share-IZKC,40.45,0.3236
Share-PWAT,24.36,2.348304
Share-NWWZ,45.76,2.178176
Share-AJGB,28.6,10.4247
Share-SAPZ,22.52,2.686636
Share-MNSA,44.49,10.125924
Share-HATC,43.45,14.83383
Share-QUIN,30.69,3.121173
Share-CZFA,38.63,6.458936
